Symbol,Desc,insCode,insID,groupCode
وپاسار2,بانك  پاسارگاد,12845457908500808,IRO1BPAS0002,57 
فسازان,غلتك سازان سپاهان,12874072841236826,IRO1FSAZ0001,27 
ولراز,ليزينگ رازي,12901875871456398,IRO7RAZP0001,58 
ثقزوي,شركت عمران و سازندگي قزوين,12965822877128721,IRO7QAZP0001,70 
سصوفي,سيمان‌ صوفيان‌,13227300125161435,IRO1SSOF0001,53 
زاگرس,پتروشيمي زاگرس,13235547361447092,IRO3PZGZ0001,44 
درهآور,دارويي ره آورد تامين,13243992182070788,IRO3RAPZ0001,43 
حسير,ريل سير كوثر,13281937213456378,IRO3RSKZ0001,60 
ملت,بيمه ملت,13611044044646901,IRO1BMEL0001,66 
وبشهر,توسعه‌ صنايع‌ بهشهر(هلدينگ,13937270451301973,IRO1TSBE0001,42 
شراز,پالايش نفت شيراز,14031158866706953,IRO1PRZZ0001,23 
شنفت,نفت‌ پارس‌,14073782708315535,IRO1NPRS0001,23 
اسياتك,انتقال داده هاي آسياتك,14079693677610396,IRO1ASTC0001,73 
سنير,سيمان‌ سفيد ني‌ريز,14231831499205396,IRO1SSNR0001,53 
غگلپا,شير پاستوريزه پگاه گلپايگان,14312030900097668,IRO3PGPZ0001,42 
قهكمت,قندهكمتان‌,14398278072324784,IRO1GHEG0001,38 
كيميا,ص. معدني كيمياي زنجان گستران,14427168056799610,IRO1KZGZ0001,27 
سيلام,سيمان‌ ايلام‌,14617104402836487,IRO1SEIL0001,53 
ثبهساز,بهساز كاشانه تهران,14744445176220774,IRO1BEKA0001,70 
زملارد,كشاورزي و دامپروري ملارد شير,14916489896692147,IRO3MAHZ0001,01 
خلنت,لنت‌ ترمزايران‌,14957056743925737,IRO1LENT0001,34 
دتهران‌,داروسازي‌ تهران‌ دارو,14985138705106402,IRO7THDP0001,43 
پرديس,سرمايه گذاري پرديس,15039949673085566,IRO1AYEG0001,56 
قزوين,كارخانجات‌ قند قزوين‌,15259343650667588,IRO1GGAZ0001,38 
شساخت,مهندسي و ساختمان صنايع نفت,15282093177363578,IRO7OECP0001,11 
دهدشت,صنايع پتروشيمي دهدشت,15374483986949695,IRO7PDHP0001,44 
